CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,PROYECTOS DE CONECTIVIDAD 2024,OPERADOR,ESTADO,MEDIO DE ENLACE,ANCHO DE BANDA DE SUBIDA (MB),ANCHO DE BANDA DESCARGA (MB),FINALIZACIÓN DEL CONTRATO,LATITUD,LONGITUD
15,BOYACÁ,OCCIDENTE,15106,BRICEÑO,315106000124,I.E. TECNICA MANUEL BRICEÑO,215106000162,ESC RURAL TARPEYA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.703875034,-73.92652415
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA,215109000163,I.E. TECNICA AGROPECUARIA LA GRANJA - SEDE PRINCIPAL,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3.75,15,12/01/2032 12:00:00 AM,5.476667,-73.943611
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000317,ESC HONDA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.5119459,-73.95504923
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000341,ESC NARANJITOS,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.49169854,-73.93634034
15,BOYACÁ,OCCIDENTE,15109,BUENAVISTA,115109000363,I.E. JOSE MARIA SILVA SALAZAR,215109000066,ESC PATIÑO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.49169854,-73.93634034
15,BOYACÁ,OCCIDENTE,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000037,ESC ANTONIO NARIÑO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.595833,-73.861667
15,BOYACÁ,OCCIDENTE,15131,CALDAS,115131000172,I.E. FRANCISCO JOSE DE CALDAS,215131000053,ESC CHINGAGUTA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.541393,-73.896675
15,BOYACÁ,OCCIDENTE,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000100,ESC EL PALMAR,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.590192662,-73.88909001
15,BOYACÁ,OCCIDENTE,15131,CALDAS,415131000141,I.E. TECNICA AGRICOLA ANTONIO NARIÑO,215131000096,ESC QUIPE CERRO ALTO,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,PENDIENTE INICIO OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.581944,-73.8625
15,BOYACÁ,OCCIDENTE,15131,CALDAS,115131000172,I.E. FRANCISCO JOSE DE CALDAS,215131000088,ESC TIERRA NEGRA,RURAL,CENTRO DIGITAL,UNIÓN TEMPORAL DE ETB NET COLOMBIA CONECTADA,EN OPERACIÓN,NA,3,12,12/01/2032 12:00:00 AM,5.558336438,-73.90304674
